label,ym,kind,5Y,10Y,20Y,30Y,40Y
Current (Jul 2026),2026-07,actual,2.04,2.82,3.81,4.33,4.27
Dec 2026,2026-12,forecast,2.30,3.07,3.97,4.46,4.39
Dec 2027,2027-12,forecast,2.73,3.45,3.91,4.11,4.15
Dec 2028,2028-12,forecast,2.70,3.36,3.80,3.89,3.99
Jul 2029,2029-07,forecast,2.66,3.27,3.78,3.88,3.98
