ym,phase,base_case,case_2_0,accelerated
2022-01,actual,0.1898679682711676,,
2022-02,actual,0.19973821490384108,,
2022-03,actual,0.23176952673276882,,
2022-04,actual,0.2547351353190334,,
2022-05,actual,0.2663784669728826,,
2022-06,actual,0.3178486027739183,,
2022-07,actual,0.2084696022232048,,
2022-08,actual,0.25126286034745793,,
2022-09,actual,0.3242943516504429,,
2022-10,actual,0.31590355910701273,,
2022-11,actual,0.3648133457158559,,
2022-12,actual,0.5450098720596148,,
2023-01,actual,0.6578654412803682,,
2023-02,actual,0.6030926776802757,,
2023-03,actual,0.44151868106478764,,
2023-04,actual,0.4238919776831153,,
2023-05,actual,0.4667037346927126,,
2023-06,actual,0.4404420543803413,,
2023-07,actual,0.6331664301645711,,
2023-08,actual,0.6808403787492192,,
2023-09,actual,0.8063260817936317,,
2023-10,actual,0.9910899397196098,,
2023-11,actual,0.7159580248990542,,
2023-12,actual,0.6733010704286918,,
2024-01,actual,0.7606104359210704,,
2024-02,actual,0.7410630686278521,,
2024-03,actual,0.7635701098100398,,
2024-04,actual,0.8997359918584256,,
2024-05,actual,1.0934234238671228,,
2024-06,actual,1.0823206647777572,,
2024-07,actual,1.0889022807687547,,
2024-08,actual,0.9372640145049308,,
2024-09,actual,0.9096054060894851,,
2024-10,actual,0.9612388757134215,,
2024-11,actual,1.072829247775513,,
2024-12,actual,1.1217857778801814,,
2025-01,actual,1.262278408747598,,
2025-02,actual,1.3946057139245107,,
2025-03,actual,1.511222737874223,,
2025-04,actual,1.3517525090369595,,
2025-05,actual,1.5358593696803635,,
2025-06,actual,1.4783146617242229,,
2025-07,actual,1.5823061403019825,,
2025-08,actual,1.6297271798822015,,
2025-09,actual,1.677986579675634,,
2025-10,actual,1.6897240028032676,,
2025-11,actual,1.837835896989639,,
2025-12,actual,2.083996971209125,,
2026-01,actual,2.264992287498039,,
2026-02,actual,2.148188721729242,,
2026-03,actual,2.380389447653989,,
2026-04,actual,2.5378271877304526,,
2026-05,actual,2.6688146882507766,,
2026-06,actual,2.7041708126197292,,
2026-07,actual,2.816317779656899,2.816317779656899,2.816317779656899
2026-08,forecast,2.816317779656899,2.816317779656899,2.816317779656899
2026-09,forecast,2.90326796817218,2.933302676292931,2.962001114217633
2026-10,forecast,2.997522469284372,3.0283099562436337,3.1009684860082203
2026-11,forecast,3.069868619706253,3.1233155657650538,3.239934187369525
2026-12,forecast,3.1212662114826197,3.182841185401143,3.3433468765779617
2027-01,forecast,3.194570685077172,3.2568984378342067,3.4461025669357275
2027-02,forecast,3.216753448455429,3.3309495673267056,3.548925156620465
2027-03,forecast,3.2389411258410785,3.405078633094133,3.6517526603125954
2027-04,forecast,3.2611265270384626,3.464527946898408,3.755162065956754
2027-05,forecast,3.2833137829141705,3.523979115381006,3.843311672364054
2027-06,forecast,3.305499254457402,3.5908037485523403,3.9388347434600903
2027-07,forecast,3.327686580749772,3.6502549874516,4.027057442551588
2027-08,forecast,3.349874117372912,3.694517805033984,4.100018698058675
2027-09,forecast,3.332985774397212,3.7158053441370646,4.136105258419791
2027-10,forecast,3.316099519563964,3.737094971382597,4.172266929190895
2027-11,forecast,3.299211382773562,3.758382716670975,4.193165064089663
2027-12,forecast,3.282325129091772,3.779672345067965,4.214065082097044
2028-01,forecast,3.265438870650621,3.786357515198243,4.235549273485356
2028-02,forecast,3.248548648174211,3.793038721293263,4.2418408691907645
2028-03,forecast,3.2316618284446545,3.7997233301351336,4.248135867643025
2028-04,forecast,3.214772942516805,3.806405872778713,4.254428799896995
2028-05,forecast,3.1978859135748605,3.813090272408197,4.260723589136869
2028-06,forecast,3.180997028765395,3.796201387598732,4.267016522509222
2028-07,forecast,3.164109998705068,3.779314357538404,4.2501294924488935
2028-08,forecast,3.1472231789755107,3.762427537808848,4.233242672719337
2028-09,forecast,3.145334767023332,3.745539125856668,4.216354260767158
2028-10,forecast,3.143448440914388,3.728652799747724,4.199467934658213
2028-11,forecast,3.1415604443761604,3.7117648032094968,4.182579938119987
2028-12,forecast,3.139674772785125,3.6948791316184617,4.165694266528951
2029-01,forecast,3.1377893027512505,3.677993661584587,4.148808796495077
2029-02,forecast,3.1358977097768106,3.661102068610147,4.131917203520636
2029-03,forecast,3.1340111754608184,3.644215534294155,4.1150306692046446
2029-04,forecast,3.1321223602903987,3.6273267191237353,4.098141854034225
2029-05,forecast,3.1302349751774603,3.610439334010796,4.081254468921286
2029-06,forecast,3.128290379672441,3.608494738505777,4.064309873416267
2029-07,forecast,3.126345784167422,3.6065501430007583,4.062365277911248
