ym,tp_30y,tp_40y
2006-01,1.3122641818962808,
2006-02,1.2241111290023712,
2006-03,1.273489451045401,
2006-04,1.4545610991420084,
2006-05,1.4427702893615686,
2006-06,1.5475985446678076,
2006-07,1.5903881696287303,
2006-08,1.4280990779591296,
2006-09,1.4515048792284688,
2006-10,1.476846618678368,
2006-11,1.417914176002614,
2006-12,1.3646210053732428,
2007-01,1.43529937624891,
2007-02,1.3336632850153831,
2007-03,1.3639090437094517,
2007-04,1.3610183984378688,
2007-05,1.4199319527159358,
2007-06,1.4986786133600938,
2007-07,1.5137267436388018,
2007-08,1.4976937544842477,
2007-09,1.5306217264408517,
2007-10,1.6069265433163855,
2007-11,1.5111763234028817,1.5822625936929486
2007-12,1.558523541784762,1.630491719607712
2008-01,1.5792628273596026,1.7383677408003742
2008-02,1.5314373584697305,1.7056776406896947
2008-03,1.690669756787769,1.8807812938485624
2008-04,1.639433563777199,1.7981870961222035
2008-05,1.7519217173690071,1.8585619550107144
2008-06,1.731910142941968,1.831582993063555
2008-07,1.7576228508649567,1.89795273614398
2008-08,1.689345079101745,1.844051326356158
2008-09,1.7348398367266529,1.8796682913237623
2008-10,1.8480903775496536,1.9685785453408204
2008-11,1.825215369390996,1.8615334819932683
2008-12,1.462787155214346,1.5392201605137006
2009-01,1.6347634407956697,1.690307067931479
2009-02,1.6532823878340248,1.5920272773365038
2009-03,1.6612828328135394,1.6340535707007091
2009-04,1.7224728003193492,1.6752312251489114
2009-05,1.8552031863696772,1.7361574751868507
2009-06,1.788964500046558,1.7517619619410283
2009-07,1.893883867983892,1.9190085627099176
2009-08,1.837177891306112,1.837048407588378
2009-09,1.7991216417699527,1.7629796021719109
2009-10,1.7796219571159215,1.8010703757697688
2009-11,1.6570387284422852,1.650124898316948
2009-12,1.67756093525233,1.6691191904215987
2010-01,1.7154232087867087,1.7102489323886017
2010-02,1.7346102471430118,1.728065603364821
2010-03,1.730357454820053,1.675358122195526
2010-04,1.6608181594665463,1.6065383620394835
2010-05,1.6533995712703269,1.602515270983563
2010-06,1.5349086564248613,1.5064309544782315
2010-07,1.4567882051267849,1.4563887369917752
2010-08,1.401467508466307,1.3513791054700095
2010-09,1.4820917726619445,1.4241840493269768
2010-10,1.5987291359390938,1.5903582447182425
2010-11,1.6648766059072369,1.621215808643846
2010-12,1.5869099151922723,1.5709397554727784
